,Description
5203,미국 뉴욕 증시는 금리 인하 기대에 상승세를 보이다 반락했다. ◇ 연준 빅컷 단행···긴축 기조 대변화 연준은 18일(현지 시간) 연방공개시장위원회(FOMC)에서 기준금리를 기존 5.25∼5.50%에서 4.75∼5.0%로 0.5%포인트... 
5204,미국 증시 3대 지수가 모두 상승한 영향으로 풀이된다. 향후 관건은 11일 발표될 미국 소비자물가지수(CPI)와 다음날 열릴 미 대선 TV 토론이다. 10일 가상자산 시황중계 사이트 코인마켓캡에 따르면 오전 9시15분 기준... 
5205,"아시아 주식시장이 중국의 최신 경기 부양책과 미국 증시의 신기록 달성에 힘입어 상승세를 이어갔다. 이는 금융 시장 전반에 걸쳐 위험 자산에 대한 투자 심리를 강화했다. 호주 주식은 상승했으며, 일본의 닛케이... "
5206,"한편, 미국뉴욕증시 다우산업지수는 23일 11시04분 (현지기준) 34.81 (+0.08%) 상승한 42,098.17로 장을 시작했다. 나스닥종합지수는 32.01 (+0.18%) 상승한 17,980.33으로 장을 시작했따. 유럽증시 영국과 독일은... "
5207,"한지영 키움증권 연구원은 &quot;19일 미국 증시는 연준의 50bp 빅컷 단행 이후 양호한 경제지표 발표 등이 경기침체 우려를 완화시켰고, 이에 투자심리 개선되며 대형 기술주 중심으로 상승한 결과 3대 지수는 상승... "
5208,26일(미국시간) 뉴욕증권거래소에 따르면 이날 뉴욕증시에서 나스닥100 지수는 2만115.54로 0.72% 상승했다. 나스닥100 이란 뉴욕증시 상장 종목 중 핵심 기술주 100개를 모아 만든 지수다 마이크론(+14.73... 
5209,미국 증시에서도 마이크로소프트·애플·넷플릭스·테슬라 등 기술주가 증시를 이끌었다. BBIG 관련 지수도 기지개를 켰다. ‘KRX BBIG 지수’는 이달에 5.3% 상승했다. KRX BBIG 지수는 배터리(LG에너지솔루션·삼성SDI)... 
5210,"미국 통화 당국의 금리 인하 이벤트를 앞두고 최근 미국 증시는 양호한 흐름을 보였다. 한국 증시가 추석 연휴 기간이던 지난 18일까지 3거래일 누적 다우 지수는 1.8% 상승했으며 S&amp;P500은 +1.3%, 나스닥은 +0.9%씩 올랐다.... "
5211,미 실업수당 청구건수 예상치 밑돌아 경기침체·고용악화 우려 완화 뉴욕 3대지수 일제히 상승 출발 19일(현지시간) 개장한 미국 뉴욕증시가 '빅컷'에 대해 하루 늦게 '지각 환호'를 보냈다. 전날 미국 연방준비제도... 
5212,"지난밤 미국증시 상승 영향으로 장중 매수세가 유입되고 있다고 니혼게이자이 신문은 전했다. 앞서 지난 23일(현지시간) 뉴욕증시에서 다우존스(+0.15%), S&amp;P500(+0.28%), 나스닥(+0.14%) 등 3대 지수는 상승했다. 연준... "
5213,기준금리가 낮아지면 미국 증시를 주도하는 기술주와 우량주도 반사이익을 누린다. 시카고상품거래소(CME) 페드워치툴에 따르면 연방기금금리 선물시장은 9월 FOMC에서 기준금리가 50bp(1bp=0.01%포인트) 인하될... 
5214,"현재 환율은 달러당 1337.0원이며, 이날 기준 미국 증시 상위 20개 종목에 대한 보관금액 총액은 76조 9,429억원으로 이전 집계일 대비 3조 5,345억원 증가했다. 서학개미들이... "
5215,연준이 금리 인하 주기를 시작한 후 첫 12개월간 S&amp;P500지수는 평균 16% 상승했다. 그러나 미국 증시가 지난 1년간 워낙 뜨거운 랠리를 펼쳤기 때문에 이 수치는 미미해 보인다. S&amp;P500지수는 지난 1년간 26% 이상 상승했다.
5216,이상연 신영증권 연구원은 &quot;TV 토론의 여파는 다음날 미국 증시에서도 확인할 수 있었다&quot;며 &quot;트럼프 전 대통령 피습과 1차 토론 기간 동안 트럼프 트레이딩이 나타난 것과 정반대로 해리스 트레이딩의 시작일 수 있다&quot;고... 
5217,"미국 뉴욕 증시가 일제히 상승 마감했다. 고용시장 불안감을 조성하는 지표에도 불구하고 중국의 경기부양책 및 미국 연방준비제도(Fed)의 금리 인하 기대감, 엔비디아의 강세에 힘입어 상승세를 보였다. 국내... "
5218,뉴욕증시는 미국 연방준비제도(Fed·연준)의 금리 인하로 촉발된 강세 흐름을 이어가려 할 것으로 전망된다. 연준은 지잔누 4년 6개월 만에 전격적인 금리 인하를 단행했다. 이로써 20년 만에 가장 높은 수준이었던... 
5219,인공지능(AI)은 한국·미국 증시에서 현금 비중을 종전 대비 늘릴 것을 제안했다. 8일 한국거래소에 따르면 코스피는 지난 한 주 동안 4.86% 하락한 2544.28에 마감했다. 연간 기준으로 코스피는 4.18% 떨어지며 역주행... 
5220,"미국증시, 뉴욕증시, 나스닥 선물, 다우 지수, 주가, 증시현황, 증시전망 13일 (미국 현지시간) 10시 기준 나스닥 종합 지수는 현재 17653.56 포인트로 전일대비 83.88 포인트 상승하여 등락률 +0.48% 를... "
5221,미국 뉴욕증시 뿐 아니라 달러환율 국채금리 국제유가 금값 그리고 비트코인 이더리움 리플등 가상 암호화폐도 마이크론 실적 발표에 환호하고 있다.이런 가운데 뉴욕증시는 PCE 물가+ 실업수당 고용지표에... 
5222,"엔비디아 일일 주가추이 - 야후 파이낸스 갈무리 연준이 0.25%포인트가 아니라 0.5%포인트의 빅컷을 단행하자 오히려 경기 침체 우려가 급부상, 미국증시가 일제히 하락함에 따라 엔비디아도 2% 가까이 하락했다. 18일... "
5223,뉴욕증시 ⓒAFPBBNews 미국 뉴욕증시가 장초반 상승세를 나타냈다. 24일(현지시각) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전거래일 대비 0.15% 오른 4만 2188.26으로 장을 열었다. 스탠더드앤드푸어스(S&amp;P)... 
5224,간밤 발표된 8월 소비자물가지수(CPI) 해석이 엇갈리며 변동성이 컸던 미국 증시가 엔비디아발 기술주 랠리에 상승세로 장을 마감했다. 국내 증시도 12일 오전 반도체 중심으로 반등세를 나타내며 상승흐름을... 
5225,"먼저 간밤 미국 증시 상황부터 점검해보죠. 뉴욕 증시 어떻게 마무리됐습니까? [기자] 간밤 뉴욕 증시는 일제히 1퍼센트 넘게 뛰어올랐습니다. 어제 연방준비제도의 금리 인하, 이른바 빅컷 결정에 하루 늦게... "
5226,미국 뉴욕증시의 3대 지수가 10일(현지시간) 장 초반 보합권에서 혼조세다. 투자자들은 이날 밤 예정된 대선 TV 토론과 다음 날 공개될 인플레이션 지표를 대기하며 시장을 관망하고 있다. 이날 뉴욕 주식시장에서... 
5227,홍콩 항셍 지수도 1.45% 상승한 1만8275.14를 가리키고 있다.이 같은 지수 오름세는 간밤 미국 뉴욕 증시에서 빅컷과 관련한 낙관론에 주가지수가 상승한 영향이다. 간밤 뉴욕증시에서 다우존스30... 
5228,19일(현지시간) 뉴욕증시의 주요 주가지수가 전날 연방준비제도(Fed·연준)의 '빅컷'(0.50%포인트) 영향에 낙관론이 되살아나면서 사상 최고치로 마감했다. 이날 뉴욕증시에서 다우존스30 산업평균지수는 전날보다... 
5229,특히 지금과 같이 기술주 섹터가 미국 증시를 주도하는 국면에서 이익과 밸류에이션의 상관계수는 높아진다는 것이 이 연구원의 설명이다. 코스피는 지수와 PER 간의 연관성이 높긴 하지만 실제로 지난 2016년 5월... 
5230,"이날 아시아 증세 약세에는 지난 3일 AI(인공지능) 업종 거품 우려와 9월 약세장에 대한 경계감, 미국 경기 침체 신호가 재부각한 이후 미국 증시가 지속적으로 약세를 보인 게 영향을 미쳤다. 지난주 미국 노동부는... "
5231,"현재 환율은 달러당 1329.0원이며, 이날 기준 미국 증시 상위 20개 종목에 대한 보관금액 총액은 75조 8,255억원으로 이전 집계일 대비 3,593억원 증가했다. 20개 종목 중 전일대비 보관금액이 가장... "
5232,"현재 환율은 달러당 1335.5원이며, 이날 기준 미국 증시 상위 20개 종목에 대한 보관금액 총액은 75조 8,353억원으로 이전 집계일 대비 1조 9,888억원 감소했다. 20개 종목 중 전일대비 보관금액이 가장... "
5233,"11일(현지시간) 미국증시는 이날 발표된 소비자물가지수(CPI)에 실망, 급락 출발했으나 장 후반 엔비디아를 비롯한 기술주가 랠리를 펼치며 일제히 상승, 마감했다. 이날 뉴욕증시에서 다우는 0.31%, S&amp;P500은 1.07... "
5234,"미국 뉴욕증시가 상승세다. 19일 오전 10시 50분(현지시간) 기준 다우 지수는 0.98% 상승한 41,910.09에, 나스닥 종합지수는 2.56% 상승한 18,023.16에 거래 중이다. 전날 미 연방준비제도(Fed)의 금리인하 '빅컷(0.5... "
5235,미국 연방준비제도이사회의 9월 정책회의가 시작되는 17일(현지시간) 미국증시는 예상보다 양호한 소매 판매 데이터 덕분에 주가가 상승세로 출발했다. 동부표준시로 오전 9시 50분 기준으로 S&amp;P500은 0.3% 올랐으며... 
5236,"추석 연휴 기간 글로벌 IB인 모건스탠리가 메모리 반도체 시장 악화를 근거로 SK하이닉스 목표주가를 26만원에서 12만원으로 대폭 하향했고, 미국 증시에서 애플·엔비디아 등 일부 대형 기술주 주가가 차익 실현으로... "
5237,"간밤 미국 뉴욕 증시에서 뒤늦게 빅컷과 관련해 낙관론이 퍼지며 주가지수가 대거 상승했다. 다우존스30 산업평균지수는 전날보다 522.09포인트(1.26%) 오른 42,025.19에 거래를 마쳤다. 스탠더드앤드푸어스(S&amp;P)... "
5238,미국 뉴욕증시가 12일(현지 시각) 일제히 상승했다. 미국 도매 물가와 신규 실업보험 청구자 수가 무난한 흐름을 보이면서 연방준비제도(Fed·연준)가 다음 주에 금리를 인하할 것이라는 예상이 유지된 결과... 
5239,"미국증시, 뉴욕증시, 나스닥 선물, 다우 지수, 주가, 증시현황, 증시전망 12일 (미국 현지시간) 10시 기준 나스닥 종합 지수는 현재 17462.12 포인트로 전일대비 66.59 포인트 상승하여 등락률 +0.38% 를... "
5240,5%포인트 인하하는 빅컷을 단행한 가운데 미국 증시가 경기 침체 우려로 하락하면서 국내 증시 역시 혼조세를 나타내고 있는 것으로 풀이된다.간밤 다우존스30산업평균지수는 전 거래일 대비 0.25% 하락한 4만1503.10을... 
5241,실제 간밤 미국 증시도 연준의 금리 인하 발표 이후 대다수 사상 최고치를 경신한 뒤 일제히 하락 마감해 변동성을 키웠다. 전날 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 장중 한 때 4만1981.97까지 오르며... 
5242,"◆ 뉴욕증시, 혼조세…유가 폭락 불구 기술주가 방어 미국 뉴욕증시 주요 지수가 혼조세로 장을 마감했습니다. 국제 유가가 급락하면서 경기침체 공포가 시장 전반에 확산했지만, 기술주 중심으로 저가 매수세가... "
5243,연합뉴스에 따르면 이번 주(9월 16일~9월 20일) 뉴욕증시는 미국 연방준비제도(Fed·연준)의 금리 인하를 맞아 강세를 시도할 것으로 전망된다. 연준은 오는 17일부터 이틀간 9월 연방공개시장위원회(FOMC)를 개최한다.... 
5244,진정호 특파원 = 미국 연방준비제도(Fed·연준)가 '빅 컷(50bp 금리인하)'을 단행하면서 미국 증시에 낙관론이 확산됐지만 동시에 거품이 낄 위험도 촉발됐다며 채권이 더 매력적인 대안이라고 뱅크오브아메리카(BofA)가... 
5245,▲미국 뉴욕증시가 17일(현지시간) 금리인하 폭을 놓고 의견이 분분하면서 시종 등락이 엇갈리는 흐름을 보였다. 사진은 뉴욕증시 입회장에서 일하는 트레이더들의 모습/연합뉴스 제공  미국 뉴욕증시가 다음날... 
5246,11일(현지시간) 미국증시는 8월 핵심 소비자물가가 예상보다 높아진 가운데 전반적인 소비자물가가 3년반만에 최저로 나타난 가운데 하락세로 출발했다. S&amp;P500은 동부표준시로 오전 10시 기준 전 날보다 1.2% 하락했으며... 
5247,"26일(미국시간) 뉴욕증권거래소에 따르면 이날 장중(한국시각 27일 새벽 4시 1분 기준, 미국증시 마감 59분 전) 다우존스(+0.66%) 나스닥(+0.53%) S&amp;P500(+0.37%) 러셀2000(+0.79%) 등 뉴욕증시 4대 지수가 상승세를... "
5248,"간밤 스탠더드앤드푸어스(S&amp;P)500지수가 최고치를 새로 쓰는 등 미국 뉴욕증시 3대 지수가 모두 상승 마감했지만, 코스피 반등으로는 이어지지 않았다. 중국 증시 상승 소식도 오늘은 힘을 발휘하지 못했다. 9거래일... "
5249,미국 뉴욕증시의 주요 주가지수가 혼조를 보이며 마감했습니다. 연방준비제도(Fed)가 선호하는 물가 지표가 예상보다 더 큰 폭으로 둔화됐고 소비자심리지수는 개선됐습니다. 하지만 투자자들은 고점 부담이 더 큰 듯... 
5250,"간밤 미국 뉴욕증시는 상승 마감했다. 다우존스30산업평균지수는 전장보다 0.58% 상승했으며 스탠더드앤푸어스(S&amp;P)500, 나스닥은 각각 0.75%, 1.00% 올랐다. 미국 노동부에 따르면 8월 생산자물가지수(PPI)는... "
5251,금리와 주가의 풍향계 역할을 할 8월 미국 소비자물가(CPI)와 생산자물가(PPI) 공개를 앞두고 미국 증시가 10일(이하 현지시간) 혼조세로 출발했다. '최악의 한 주'로 꼽혔던 지난주 하락세를 9일 일부 상쇄했으나... 
5252,BMO 캐피털 최고투자전략가 브라이언 벨스키는 &quot;연준이 경제 성장을 지속할 목적으로 금리 인하 주기에 돌입한 초기에 증시는 대체로 강력한 상승세를 보여왔다&quot;며 &quot;미국 경제에 특별한 문제가 발생하지 않는 한... 
5253,"이경민 대신증권 연구원은 &quot;FOMC 다음날 미국 고용개선에 미국 증시는 상승세를 보였다. 다우지수와 S&amp;P500은 사상 최고치를 경신했다. 반면 코스피는 2600선 회복도 힘겨운 상황&quot;이라며 &quot;9월 코스피는 일본, 중국과 함께... "
5254,11일(현지 시간) 혼조세로 장을 연 미국 뉴욕 증시가 약세를 보이고 있다. 소비자물가지수(CPI) 근원지수가 예상보다 오르면서 금리인하 인하폭에 대한 불확실성이 커진 탓이다. 이날 뉴욕증권거래소(NYSE)에서... 
5255,"미국 증시는 지난주 경기 침체 우려가 고조되며 급락했다. 지난주 다우존스지수는 2.9%, S&amp;P500지수는 4.3% 떨어지며 2023년 3월10일 이후 1년6개월만에 최악의 주간 수익률을 기록했다. 나스닥지수는 지난주 5.8% 추락하며... "
5256,"김현철 애널리스트 여러모로 미국 증시는 큰 변곡점을 지나고 있다. 금리 인하 사이클의 시작과 다가오는 11월의 대선, 중국 리스크, 지정학적 긴장 등이 그렇지 않아도 변동성이 큰 증시에 어떤 영향을 미칠지... "
5257,"이경민 대신증권 연구원은 &quot;장 초반 증시는 마이크론과 반도체 섹터 훈풍으로 상승한 미국 증시를 반영하며 상승 출발했지만, 중국증시가 갭 상승으로 출발한 후 상승폭을 줄이며 코스피도 상승을 반납했다... "
5258,"미국 증시가 연방준비제도 금리 인하를 뒤늦게 반영하며 상승했고, 호주 증시 등도 오르면서 투자심리가 개선됐다. 연합인포맥스 세계주가지수(6511)에 따르면 20일 닛케이225 지수는 전일 대비 568.58포인트(1.53... "
5259,25일(현지시간) 미국 뉴욕증시가 중동 리스크 등의 영향으로 혼조 마감했다. 뉴욕증권거래소(NYSE)에 따르면 30개 우량종목 지수인 다우존스30산업평균지수는 이날 전 거래일 대비 293.47포인트(p·0.70%) 내린 4만1914.... 
5260,"미국증시, 뉴욕증시, 나스닥 선물, 다우 지수, 주가, 증시현황, 증시전망 11일 (미국 현지시간) 10시 기준 나스닥 종합 지수는 현재 16885.67 포인트로 전일대비 140.21 포인트 하락하여 등락률 -0.82% 를... "
5261,"미국 증시는 연방준비제도(Fed)의 추가 신호를 대기하며 사상 최고치에서 하락했으나, 아시아 장에서는 지역 시장이 이를 무시하고 상승세를 보였다. 아시아 거래에서 미국 증시 선물은 기술주 및 반도체 주 상승에... "
5262,"이는 지난 주말 미국증시가 일제히 급락했기 때문으로 보인다. 지난 6일 미국증시에서 다우는 1.01%, S&amp;P500은 1.73%, 나스닥은 2.55% 각각 급락했다. 이날 미국증시가 급락한 것은 고용 지표가 엇갈리게 나왔기 때문이다.... "
5263,증시는 선반영 탓에 하락 마감 주식 투자자들이 기대했던 대로 연준이 25bp가 아닌 50bp 금리를 내렸지만 '빅컷' 결정 이후 순간 급등했던 미국 증시는 상승 폭을 전부 내주면서 하락 마감했다.... 
5264,독일 프랑크푸르트 증시에서는 독일 주가 지수(DAX)가 반등하며 2주 만에 사상 최고치를 기록했고 미국 증시에서는 다우존스 산업평균지수가 사흘 만에 반등하며 사상 최고치를 경신했다. 이날 일본은행(BOJ)은... 
5265,알리바바와 JD닷컴 등 미국 증시에 상장된 중국 기업들의 주가는 각각 7.9%와 13.9% 상승했다. 중국 경제 성장에 대한 기대감은 산업재 기업인 캐터필러의 주가도 3.98% 끌어올렸다. 특히 중국 마카오 지역에 투자하는... 
5266,"이날 시장은 11일(현지시각) 미국 뉴욕증시에서 기술주 중심의 나스닥지수 등이 상승한 영향을 받았다. 반도체 관련주 도쿄일렉트론은 4.82%, 아드반테스트는 9.20％ 폭등했다. 이날 도쿄 외환시장에서 달러 대비... "
5267,미국 뉴욕증시에서는 &quot;미국 대선 TV 토론이 결정적 분수령&quot;이라면서 해리스 당선 가능성에 대한 베팅이 크게 늘고 있다. 12일 뉴욕증시에 따르면 세계적 팝스타 테일러 스위프트가 미국 민주당의 대선 후보인 카멀라... 
5268,"미국 증시가 연준의 공개시장위원회(FOMC) 회의를 앞두고 혼조세를 보였으나, 테슬라는 0.48% 상승에 성공했다. 17일(현지시간) 뉴욕 증시에서 테슬라는 전 거래일 보다 0.48% 상승한 227.87달러를 기록했다. 이날... "
5269,"현재 환율은 달러당 1336.0원이며, 이날 기준 미국 증시 상위 20개 종목에 대한 보관금액 총액은 73조 4,595억원으로 이전 집계일 대비 4,576억원 감소했다. 서학개미들이 많이 투자한... "
5270,"미국 뉴욕 증시는 11일(현지시간) 혼조세로 개장했다가 기술주를 중심으로 매수세가 유입하면서 상승 마감했다. 뉴욕증권거래소(NYSE)에서 다우존스 산업지수는 이날 전일 대비 124.75 포인트, 0.31% 올라간... "
5271,&quot;미국 주가가 올라갈 때는 찔끔 올라가다가 내려갈 때는 대폭 내려간다.&quot; &quot;주식 투자에서 돈을 벌려면 '국장(國場·한국 증시)'은 안되고 '미장(美場·미국 증시)에 가야 한다.&quot; 한·미 경제발전단계를 고려할 때 정반대... 
5272,경기침체 가능성으로 인한 미국 증시 불안감은 추가적인 녹인형 ELS 손실 우려를 키우고 있다. 앞서 H지수 연계 ELS 투자 손실을 간접적으로 학습했기 때문이다. 특히 이러한 불안감에 불을 지핀 것은 미국 고용... 
5273,"다만, TV토론과 대선 지지율이 미국 등 증시에 미칠 영향은 제한적이라는 분석이다. 대선에서 지지율보다 선거인단 확보가 당선에 중요했고, 과거 대선 준비 기간에도 지지율과 지수와의 연관성도 낮았던 만큼, 지지율... "
5274,이번 주 연방준비제도이사회의 금리 인하에 따라 미국 증시 전반에 걸쳐 대규모 상승이 관측됐다. 올해 들어 S&amp;P 500 지수는 41번의 최고치 종가를 기록하며 20% 상승하는 등 활황 국면을 이어가고 있다. 이번 주 증시... 
5275,"앞서 미국 증시가 급락한 영향으로 오늘 또 코스피가 검은 월요일처럼 낙폭을 키우는 것 아니냐, 이런 우려가 컸는데 다행히 장 중반 낙폭을 줄이면서 다시 2500선으로 회복했습니다. [앵커] 저희가 R의 공포라고 했는데... "
5276,"그러나 미국 증시가 지난 1년간 워낙 뜨거운 랠리를 펼쳤기 때문에 이 수치는 미미해보인다. S&amp;P500지수는 지난 1년간 26% 이상 상승했다. 한편, 국제유가는 소폭 하락했다. 이날 뉴욕상업거래소에서 근월물인 10월... "
5277,▲미국 뉴욕증시는 20일(현지시간) 세 마녀의 날을 맞아 다우를 제외하곤 약세를 기록하며 마감했다. 사진은 미국 뉴욕증권거래소의 모습/연합뉴스 제공  미국 뉴욕증시가 기술주와 반도체주가 조정을 겪은... 
5278,"이는 전일 미국증시가 일제히 상승하고, 이어 열린 아시아 증시도 이를 추종해 일제히 랠리하고 있기 때문으로 보인다. 전일 비트코인은 TV 대선 토론에서 암호화폐 마니아 도널드 트럼프 공화당 후보가 카멀라... "
5279,"금리 인하 훈풍에 미국 증시 대표 기술주 7종목을 가리키는 매그니피센트7(M7)도 일제히 상승했다. 구글 모기업 알파벳은 1.46%, 페이스북 모기업 메타가 3.93%, 마이크로소프트(MS) 1.83%, 아마존 1.85%로 상승 마감했다."
5280,"미국증시, 뉴욕증시, 나스닥 선물, 다우 지수, 주가, 증시현황, 증시전망 10일 (미국 현지시간) 10시 기준 나스닥 종합 지수는 현재 16901.79 포인트로 전일대비 17.19 포인트 상승하여 등락률 +0.10% 를... "
5281,미국 뉴욕증시는 24일(현지시간) 상승했다. 사진은 뉴욕증권거래소 모습. [뉴욕=AP/뉴시스 자료사진] 미국 뉴욕증시는 24일(현지시간) 기술주 상승과 중국의 대규모 경기부양 예고 등 영향으로 상승했다. 이날... 
5282,▲미국 뉴욕증시가 20일(현지시간) 세 마녀의 날에도 불구하고 비교적 작은 조정을 겪고 있다. 사진은 뉴욕증권거래소(NYSE) 입회장에서 트레이더들이 업무를 처리하는 모습/연합뉴스 제공  미국 뉴욕증시가... 
5283,"장 초반 혼조세를 보였던 미국 뉴욕증시도 낙폭을 키우고 있다. 이날 오후 12시 25분 다우존스30산업평균지수 전날보다 390.11포인트(0.96%) 하락했고, 스탠더드앤드푸어스(S&amp;P)500지수도 91.15포인트(1.66%) 내렸다.... "
5284,"지난 주 미국 증시는 8월에 이어 또다시 '블랙먼데이'가 오는 것 아닌가 하는 우려 속에 출발했으나, 주 초반 저가 매수세 유입으로 상승세를 보였다. 11일(수)에는 실망스러운 소비자물가지수(CPI)가 발표되었으나... "
5285,▲미국 뉴욕증시가 20일(현지시간) 세 마녀의 날을 맞아 소폭의 조정을 겪고 있다. 뉴욕증권거래소(NYSE)에서 한 트레이더가 업무를 보고 있다./사진=연합뉴스 제공  미국 뉴욕증시가 급등 하루 만에 기술주와... 
5286,"18일(이하 미국시간) 뉴욕증시에서 3대 지수가 하락했다. 미국의 중앙은행인 연방준비제도(Fed, 연준)가 4년 반만에 기준금리를 50bp(0.5%p) 낮추는 '빅컷'에 나서면서 뉴욕증시는 금리 발표 직후 상승세를 보였지만... "
5287,▲미국 뉴욕증시는 17일(현지시간) 다음날 FOMC  회의 결과 발표를 앞두고 종일 작은 폭으로 하락과 상승을 오갔다. 사진은 미국 뉴욕증권거래소의 모습/연합뉴스 제공  미국 뉴욕증시가 다음날... 
5288,"20%) 등이다 이경민 대신증권 연구원은 &quot;아시아 주요국 증시가 상승하고, 미국 증시 선물시장도 반등했는데, 시장은 금리 인하 불확실성 소화 이후 연착륙 시나리오를 우선은 따라가는 듯한 분위기... "
5289,이날 미국증시는 11일 발표되는 CPI를 앞두고 관망세를 유지했다. 이번 CPI 발표는 연준의 17일~18일 공개시장위원회(FOMC)를 앞두고 발표되는 마지막 인플레이션 지표다. 이는 연준의 금리 인하 폭에 상당한 영향을... 
5290,뱅크오브아메리카(BofA) 권오성 주식 전략가는 &quot;미국 증시가 최소 11월 대선 때까지는 계속 불안정한 상태를 보일 가능성이 높다는 견해에 동의한다&quot;고 말했다. 그는 &quot;거시경제 데이터가 계속 악화돼왔다&quot;면서 &quot;특히... 
5291,미국 뉴욕증시가 혼조세를 보이며 다우존스30산업평균지수는 4거래일 만에 하락 전환했다. 스탠더드앤드푸어스(S&amp;P) 500 지수도 최고치 경신에 실패하며 투자 심리가 위축된 모습이다. 다우 293포인트 하락...S&amp;P 500... 
5292,"인공지능(AI)은 한국, 미국 증시에서 현금 비중을 종전 대비 늘릴 것을 제안했다. 8일 한국거래소에 따르면 코스피지수는 지난 한 주 동안 4.86% 하락한 2544.28에 마감했다. 연간 기준으로 코스피지수는 4.18% 떨어지며... "
5293,"10일(현지시간) 미국증시는 트럼프와 해리스의 첫 대선토론과 다음 날로 예정된 소비자물가지수(CPI) 발표를 앞두고 혼조세로 출발했다. 동부표준시로 오전 10시 현재 S&amp;P500은 5,488.19포인트로 전날보다 0.2% 올랐고... "
5294,23일(현지시간) 미국 뉴욕증시가 미국 연방준비제도(연준·Fed) 일부 위원들이 추가 '빅컷(0.50%p 금리 인하)' 가능성을 시사하자 상승 마감했다. 뉴욕증권거래소(NYSE)에 따르면 30개 우량종목 지수인... 
5295,"미국증시, 뉴욕증시, 나스닥 선물, 다우 지수, 주가, 증시현황, 증시전망 09일 (미국 현지시간) 09시 기준 나스닥 종합 지수는 현재 16867.45 포인트로 전일대비 176.62 포인트 상승하여 등락률 +1.06% 를... "
5296,"연준이 다음 주 17일~18일 열리는 공개시장위원회(FOMC) 회의에서 0.5%포인트의 금리 인하를 단행할 것이란 기대로 미국증시가 일제히 랠리했다. 13일(현지시간) 뉴욕증시에서 다우는 0.72%, S&amp;P500은 0.54%, 나스닥은 0.65... "
5297,▲미국 뉴욕증시가 16일(현지시간) 빅컷 가능성에 다우 지수가 다시 한번 사상 최고치를 찍었다. 사진은 뉴욕증시 입회장에서 일하는 트레이더들의 모습/연합뉴스 제공  미국 뉴욕증시가 다소 상반된 혼조세를... 
5298,지난 9월 12일 기준으로 미국 증시는 평균 16% 상승한 반면에 우리의 코스닥은 15.6% 하락했다”며 “수많은 개인투자자들이 이 과정에서 피눈물을 흘리고 있다. 이런 허약한 증시 하에서는 청년세대의 꿈도 우리... 
5299,나스닥100 이란 미국증시 상장사 중 핵심 기술주 100개를 모아 만든 지수다. 인텔(+3.20%) AMD(+2.34%) 엔비디아(+2.18%) 마이크론(+1.88%) 램 리서치(+1.60%) 등 주요 반도체 종목이 줄줄이 뛰며 나스닥100 지수를 견인했다.... 
5300,"황산해 LS증권 연구원은 미국 증시에 대해 “발표 이후 이어진 기자회견에서 파월 연준 의장이 고용시장에 대한 우려를 더욱 크게 드러낸 점, 점도표와 달리 향후 인하 가능성이 여전히 데이터에 달려있음을... "
5301,"간밤 미국 증시가 모처럼 일제히 강세를 보였다. 엔비디아는 8% 넘게 급등한 가운데 우리 증시도 상승 출발했다. 이날 코스피는 전 거래일 대비 34.13포인트(1.36%) 오른 2,547.50으로 출발했다. 투자자별 매매... "
5302,중동 긴장이 고조되는 가운데 미국 증시와 암호화폐 시장이 일제히 급락하고 있다. 토큰포스트마켓에 따르면 2일 7시 50분 기준 비트코인은 전날 대비 4.56% 하락한 6만695달러(약 7991만원)에 거래되고 있다.... 
5303,"미국 증시 훈풍에 코스피가 장중 2600선을 회복했다. 20일 한국거래소에 따르면, 9시 27분 현재 코스피는 전 거래일 보다 25포인트(0.97%) 상승한 2605.8을 기록하고 있다. 코스닥지수는 전일보다 8.74포인트... "
5304,"현재 환율은 달러당 1329.8원이며, 이날 기준 미국 증시 상위 20개 종목에 대한 보관금액 총액은 73조 6,587억원으로 이전 집계일 대비 8,531억원 감소했다. 서학개미들이 많이 투자한... "
5305,미국 뉴욕증시가 사흘 연속 급등했다. 미국 연방준비제도(Fed·연준)가 다음 주 빅컷인 50bp(1bp=0.01%포인트) 금리 인하를 단행할 수 있다는 기대감에 힘입었다. 13일(현지시간) 다우존스 산업평균지수는 297.... 
5306,"특히 미국 증시에서 엔비디아 주가가 폭락하면서 지난 4일 코스피는 3% 넘게 빠졌고 삼성전자와 SK하이닉스 역시 급락세를 연출했다. 지난주 유가증권시장에서 외국인과 기관은 각각 1조8927억원, 1조1885억원을... "
5307,연일 사상 최고치를 경신하던 미국 증시가 급락을 반복하고 있다. 경기침체 공포가 확산하며 한국·일본 등 주요국 증시 투자자들도 불안감을 느끼는 모양새다. 8일(현지시간) 미국 3대 지수(S&amp;P500·나스닥종합... 
5308,미국 뉴욕증시는 25일(현지시간) 혼조세를 나타냈다. 사진은 뉴욕증권거래소 모습. [뉴욕=AP/뉴시스 자료사진] 미국 뉴욕증시는 25일(현지시간)  숨고르기 장세속 혼조세로 마감했다. 이날 뉴욕증권거래소(NYSE)... 
